Subject,Distance,Comparison
P01,0.926312,Between
P02,0.8521058,Between
P03,0.9051712,Between
P04,0.812673,Between
P05,0.9093902,Between
P06,0.9114567,Between
P07,0.82933,Between
P08,0.7930593,Between
P09,0.89502877,Between
P10,0.8322553,Between
P11,0.8821459,Between
P12,0.8458855,Between
P13,0.8227273,Between
P14,0.8674693,Between
P15,0.9475456,Between
P16,0.8196393,Between
P17,0.8447637,Between
P18,0.8111439,Between
P19,0.8917622,Between
P20,0.7919284,Between
P21,0.90023883,Between
P22,0.8375623,Between
P23,0.8025531,Between
P24,0.913358646,Between
P25,0.8334977,Between
P26,0.9549261,Between
P27,0.7936234,Between
P28,0.8461959,Between
P29,0.8109395,Between
P30,0.8181291,Between
P31,0.9314946,Between
P32,0.7887184,Between
P34,0.8547001,Between
P35,0.8427726,Between
P36,0.7883306,Between
P37,0.8648605,Between
P38,0.9130291,Between
P39,0.7814342,Between
P40,0.8574939,Between
P41,0.8025589,Between
P42,0.8939904,Between
P43,0.8372534,Between
P01,0.3007107,Within
P02,0.2954948,Within
P03,0.2049566,Within
P04,0.5536652,Within
P05,0.6316269,Within
P06,0.6555365,Within
P07,0.5576105,Within
P08,0.6601357,Within
P09,0.09244977,Within
P10,0.4702362,Within
P11,0.2100826,Within
P12,0.2919292,Within
P13,0.6203556,Within
P14,0.2670413,Within
P15,0.6556662,Within
P16,0.3639582,Within
P17,0.6583601,Within
P18,0.5937702,Within
P19,0.1799353,Within
P20,0.515449,Within
P21,0.01305066,Within
P22,0.2035017,Within
P23,0.6406772,Within
P24,0.003618306,Within
P25,0.4551187,Within
P26,0.6109303,Within
P27,0.6309884,Within
P28,0.886639,Within
P29,0.3053829,Within
P30,0.4737188,Within
P31,0.4181331,Within
P32,0.6173501,Within
P34,0.6655163,Within
P35,0.404128,Within
P36,0.6301776,Within
P37,0.2763546,Within
P38,0.0288037,Within
P39,0.6116674,Within
P40,0.6501067,Within
P41,0.6350187,Within
P42,0.1403528,Within
P43,0.6725431,Within
