Subject,Set,Distance,Comparison
P01,Overall,0.5895467,Between
P02,Overall,0.5694649,Between
P03,Overall,0.570309,Between
P04,Overall,0.5634746,Between
P05,Overall,0.5694276,Between
P06,Overall,0.5859863,Between
P07,Overall,0.5833365,Between
P08,Overall,0.5595028,Between
P09,Overall,0.5529099,Between
P10,Overall,0.5563299,Between
P11,Overall,0.5595307,Between
P12,Overall,0.5608541,Between
P13,Overall,0.560666,Between
P14,Overall,0.5698336,Between
P15,Overall,0.5684314,Between
P16,Overall,0.5563637,Between
P17,Overall,0.5619813,Between
P18,Overall,0.5632528,Between
P19,Overall,0.5694041,Between
P20,Overall,0.5604659,Between
P21,Overall,0.5565696,Between
P22,Overall,0.5632754,Between
P23,Overall,0.5753789,Between
P24,Overall,0.5744316,Between
P25,Overall,0.5562803,Between
P26,Overall,0.5640219,Between
P27,Overall,0.5685569,Between
P28,Overall,0.5760413,Between
P29,Overall,0.5741418,Between
P30,Overall,0.5745123,Between
P31,Overall,0.5648598,Between
P32,Overall,0.5703279,Between
P34,Overall,0.5670926,Between
P35,Overall,0.5767583,Between
P36,Overall,0.5768801,Between
P37,Overall,0.5811934,Between
P38,Overall,0.5711138,Between
P39,Overall,0.5627149,Between
P40,Overall,0.5849854,Between
P41,Overall,0.5666494,Between
P42,Overall,0.5702767,Between
P43,Overall,0.5654002,Between
P01,Left,0.6000773,Between
P02,Left,0.5833961,Between
P03,Left,0.5802835,Between
P04,Left,0.5630383,Between
P05,Left,0.5802078,Between
P06,Left,0.6017012,Between
P07,Left,0.5864715,Between
P08,Left,0.5610469,Between
P09,Left,0.5692566,Between
P10,Left,0.5451879,Between
P11,Left,0.5621591,Between
P12,Left,0.5712251,Between
P13,Left,0.5670089,Between
P14,Left,0.5793352,Between
P15,Left,0.5837407,Between
P16,Left,0.5669626,Between
P17,Left,0.5618498,Between
P18,Left,0.553237,Between
P19,Left,0.5793688,Between
P20,Left,0.566543,Between
P21,Left,0.5564785,Between
P22,Left,0.5240502,Between
P23,Left,0.5401504,Between
P24,Left,0.5320852,Between
P25,Left,0.5241739,Between
P26,Left,0.5134532,Between
P27,Left,0.5289425,Between
P28,Left,0.537421,Between
P29,Left,0.5282965,Between
P30,Left,0.5413427,Between
P31,Left,0.5419484,Between
P32,Left,0.5440586,Between
P34,Left,0.5261285,Between
P35,Left,0.5397373,Between
P36,Left,0.5484356,Between
P37,Left,0.5460497,Between
P38,Left,0.5390397,Between
P39,Left,0.5272882,Between
P40,Left,0.562067,Between
P41,Left,0.5319303,Between
P42,Left,0.5388164,Between
P43,Left,0.5319303,Between
P01,Right,0.6872293,Between
