ContigID,Superkingdom,Realm,Kingdom,Phylum,Class,Order,Family,Subfamily,Genus,Species,Isolate
NC_040606.1,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Alphabaculovirus,Malacosoma neustria nucleopolyhedrovirus,Malacosoma neustria nucleopolyhedrovirus isolate ManeNPV-T2
NC_001875.2,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Alphabaculovirus,Malacosoma neustria nucleopolyhedrovirus,Orgyia pseudotsugata MNPV
NC_001623.1,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Alphabaculovirus,Autographa californica multiple nucleopolyhedrovirus,Autographa californica nucleopolyhedrovirus
KY968317.1,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Alphabaculovirus,Malacosoma neustria nucleopolyhedrovirus,Malacosoma neustria nucleopolyhedrovirus isolate ManeNPV-T2
KY550224.1,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Alphabaculovirus,Spilosoma obliqua nucleopolyhedrosis virus,Spilosoma obliqua nucleopolyhedrosis virus isolate IIPR
MF974563.1,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Betabaculovirus,Cryptophlebia leucotreta granulovirus,Cryptophlebia leucotreta granulovirus isolate CrleGV-SA
LF131928.1,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Alphabaculovirus,Autographa californica multiple nucleopolyhedrovirus,Autographa californica nucleopolyhedrovirus
LF131929.1,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Alphabaculovirus,Autographa californica multiple nucleopolyhedrovirus,Plutella xylostella multiple nucleopolyhedrovirus
LF131930.1,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Alphabaculovirus,Autographa californica multiple nucleopolyhedrovirus,Rachiplusia ou MNPV
KU697902.1,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Alphabaculovirus,Autographa californica multiple nucleopolyhedrovirus,Mutant Autographa californica nucleopolyhedrovirus isolate vAcRev-1
