Sequence_ID	Order	Percent_of_votes	Family	Percent_of_votes
k127_10015695	no_order_Caulimoviridae	100	Caulimoviridae	100
k127_10026275	Caudovirales	100	Siphoviridae	100
k127_10107815	Caudovirales	100	Siphoviridae	100
k127_1012153	Caudovirales	100	Siphoviridae	100
k127_10166382	Caudovirales	100	Siphoviridae	100
k127_1018283	no_order_Circoviridae	100	Circoviridae	100
k127_101846	Caudovirales	100	Myoviridae	100
k127_10189060	Caudovirales	100	Siphoviridae	100
k127_10215050	Caudovirales	100	Siphoviridae	100
k127_10295122	Caudovirales	100	Siphoviridae	66.6666666666667
k127_10373785	Caudovirales	100	Siphoviridae	100
k127_10374298	no_order_Microviridae	100	Microviridae	100
k127_10404697	Caudovirales	100	Siphoviridae	66.6666666666667
k127_10412057	Caudovirales	50	Myoviridae	40
k127_10419126	Caudovirales	100	Siphoviridae	100
k127_10568959	Caudovirales	100	Siphoviridae	100
k127_10592310	Caudovirales	100	Myoviridae	100
k127_10597865	Caudovirales	100	Unassigned	NA
k127_10607180	Caudovirales	100	Siphoviridae	100
k127_10688411	Caudovirales	100	Siphoviridae	75
k127_107176	Caudovirales	100	Siphoviridae	100
k127_10737526	Caudovirales	50	Podoviridae	40
k127_10783708	Caudovirales	100	Siphoviridae	100
k127_1084165	Caudovirales	100	Myoviridae	100
k127_10863939	Caudovirales	100	Siphoviridae	100
k127_10894566	Caudovirales	100	Unassigned	NA
k127_10901665	Caudovirales	100	Siphoviridae	100
k127_10925245	Caudovirales	100	Siphoviridae	100
k127_11088741	Caudovirales	100	Siphoviridae	75
k127_11119567	Caudovirales	100	Siphoviridae	100
k127_1112248	Caudovirales	100	Siphoviridae	100
k127_11179699	no_order_Baculoviridae	100	Baculoviridae	100
k127_11224968	no_order_Microviridae	100	Microviridae	100
k127_11233469	no_order_Genomoviridae	100	Genomoviridae	100
k127_11241948	Caudovirales	100	Siphoviridae	100
k127_11254247	Caudovirales	100	Siphoviridae	80
k127_1128934	Caudovirales	100	Myoviridae	100
k127_11319222	Caudovirales	100	Siphoviridae	100
k127_11335968	Caudovirales	100	Myoviridae	100
k127_11375896	Caudovirales	100	Myoviridae	100
k127_1138332	Caudovirales	100	Siphoviridae	75
k127_11429863	Caudovirales	100	Siphoviridae	100
k127_1145545	Caudovirales	100	Siphoviridae	100
k127_11474461	Caudovirales	100	Siphoviridae	66.6666666666667
k127_11486382	no_order_Papillomaviridae	100	Papillomaviridae	100
k127_11498040	Caudovirales	100	Myoviridae	100
k127_1160364	Caudovirales	100	Unassigned	NA
k127_1163573	no_order_Caulimoviridae	100	Caulimoviridae	100
k127_11665030	Caudovirales	100	Siphoviridae	100
k127_11666778	Caudovirales	100	Siphoviridae	100
k127_11732974	Caudovirales	100	Siphoviridae	100
k127_1182587	Caudovirales	100	Siphoviridae	100
k127_11828905	no_order_Microviridae	100	Microviridae	100
k127_11828969	Caudovirales	100	Siphoviridae	100
k127_1191640	Caudovirales	100	Siphoviridae	100
k127_11938866	Caudovirales	100	Unassigned	NA
k127_11980218	Caudovirales	100	Siphoviridae	100
k127_12026297	Caudovirales	100	Siphoviridae	100
k127_12036208	Caudovirales	100	Myoviridae	100
k127_12075051	Caudovirales	100	Siphoviridae	100
k127_12091657	Caudovirales	100	Siphoviridae	100
k127_12093476	Caudovirales	100	Siphoviridae	100
k127_12127867	Caudovirales	50	Myoviridae	66.6666666666667
k127_12150448	Caudovirales	100	Siphoviridae	66.6666666666667
k127_12160826	Caudovirales	100	Siphoviridae	66.6666666666667
k127_12185411	Caudovirales	100	Siphoviridae	100
k127_12187128	Caudovirales	100	Siphoviridae	100
k127_12193268	Caudovirales	100	Unassigned	NA
k127_12212246	Caudovirales	100	Myoviridae	100
k127_1221227	Caudovirales	100	Siphoviridae	100
k127_12251608	Caudovirales	100	Siphoviridae	91.6666666666667
k127_1228614	Caudovirales	100	Siphoviridae	100
